id,LLM_Q1,LLM_Q2,LLM_Q3,LLM_Q4,LLM_Q5,LLM_Q6,LLM_Q7,LLM_Q8,LLM_Q9,LLM_Q10,LLM_Q11,LLM_Q12,LLM_Q13,LLM_Q14,LLM_Q15,LLM_Q16,LLM_Q17,LLM_Q18,LLM_Q19,LLM_Q20
10,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Least Auklet,Least Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Crested Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Least Auklet,Least Auklet,Least Auklet,Least Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Least Auklet,Crested Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet
15,Crested Auklet,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Crested Auklet,Least Auklet,Parakeet Auklet,NA,Least Auklet,Least Auklet,Least Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Least Auklet,Least Auklet,Least Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet
18,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Least Auklet,Least Auklet,Least Auklet,Least Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet
19,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Least Auklet,Crested Auklet,Crested Auklet,Least Auklet,Least Auklet,Least Auklet,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA
20,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Least Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet
21,Parakeet Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Least Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Least Auklet,Least Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Least Auklet,Least Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet
24,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Least Auklet,Parakeet Auklet,Parakeet Auklet,Least Auklet,Least Auklet,Least Auklet,Least Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Crested Auklet,Crested Auklet,Least Auklet,Crested Auklet,Crested Auklet,Least Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Crested Auklet,Rhinoceros Auklet,,Crested Auklet,Crested Auklet,Least Auklet,Crested Auklet,Least Auklet,Least Auklet,Least Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet
33,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Least Auklet,Parakeet Auklet,Least Auklet,Parakeet Auklet,Least Auklet,Least Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Crested Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Least Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet
40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Crested Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Least Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Least Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Least Auklet,Crested Auklet,Least Auklet,Parakeet Auklet,Rhinoceros Auklet,Least Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet
44,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet
45,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Least Auklet,Rhinoceros Auklet,Crested Auklet,Least Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet
46,Rhinoceros Auklet,Crested Auklet,Crested Auklet,NA,Crested Auklet,Least Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet
47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Parakeet Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Least Auklet,Least Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet
