id,LLM_Q1,LLM_Q2,LLM_Q3,LLM_Q4,LLM_Q5,LLM_Q6,LLM_Q7,LLM_Q8,LLM_Q9,LLM_Q10,LLM_Q11,LLM_Q12,LLM_Q13,LLM_Q14,LLM_Q15,LLM_Q16,LLM_Q17,LLM_Q18,LLM_Q19,LLM_Q20,LLM_A1,LLM_A2,LLM_A3,LLM_A4,LLM_A5,LLM_A6
36,Crested Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Crested Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Crested Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Crested Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Crested Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,Rhinoceros Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,Crested Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Crested Auklet,NA,NA,NA,NA,Least Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,Parakeet Auklet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
