"","Question","id","LLM_Answer","Human_Answer","Correct_Answer","Same_Answer","Neither_Correct"
"45","Q2",41,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"46","Q2",43,"Rhinoceros Auklet","Parakeet Auklet","Crested Auklet",FALSE,TRUE
"47","Q2",44,"Crested Auklet","Least Auklet","Crested Auklet",FALSE,FALSE
"48","Q2",45,"Rhinoceros Auklet","Parakeet Auklet","Crested Auklet",FALSE,TRUE
"49","Q2",46,"Rhinoceros Auklet","Parakeet Auklet","Crested Auklet",FALSE,TRUE
"50","Q2",47,"Parakeet Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"51","Q2",48,"Least Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"52","Q2",49,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"53","Q3",1,"Rhinoceros Auklet","Least Auklet","Crested Auklet",FALSE,TRUE
"54","Q3",4,"Crested Auklet","Rhinoceros Auklet","Crested Auklet",FALSE,FALSE
"55","Q3",6,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"56","Q3",7,"Parakeet Auklet","Rhinoceros Auklet","Crested Auklet",FALSE,TRUE
"57","Q3",8,"Parakeet Auklet","Rhinoceros Auklet","Crested Auklet",FALSE,TRUE
"58","Q3",10,"Rhinoceros Auklet","Least Auklet","Crested Auklet",FALSE,TRUE
"59","Q3",11,"Rhinoceros Auklet","Parakeet Auklet","Crested Auklet",FALSE,TRUE
"60","Q3",12,"Rhinoceros Auklet","Parakeet Auklet","Crested Auklet",FALSE,TRUE
"61","Q3",14,"Rhinoceros Auklet","Parakeet Auklet","Crested Auklet",FALSE,TRUE
"62","Q3",15,"Parakeet Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"63","Q3",16,"Rhinoceros Auklet","Parakeet Auklet","Crested Auklet",FALSE,TRUE
"64","Q3",17,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"65","Q3",19,"Rhinoceros Auklet","Parakeet Auklet","Crested Auklet",FALSE,TRUE
"66","Q3",22,"Rhinoceros Auklet","Parakeet Auklet","Crested Auklet",FALSE,TRUE
"67","Q3",23,"Crested Auklet","Rhinoceros Auklet","Crested Auklet",FALSE,FALSE
"68","Q3",24,"Crested Auklet","Least Auklet","Crested Auklet",FALSE,FALSE
"69","Q3",25,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"70","Q3",28,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"71","Q3",29,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"72","Q3",30,"Rhinoceros Auklet","Parakeet Auklet","Crested Auklet",FALSE,TRUE
"73","Q3",32,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"74","Q3",34,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"75","Q3",36,"Rhinoceros Auklet","Parakeet Auklet","Crested Auklet",FALSE,TRUE
"76","Q3",39,"Crested Auklet","Rhinoceros Auklet","Crested Auklet",FALSE,FALSE
"77","Q3",40,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"78","Q3",42,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"79","Q3",43,"Crested Auklet","Rhinoceros Auklet","Crested Auklet",FALSE,FALSE
"80","Q3",46,"Crested Auklet","Rhinoceros Auklet","Crested Auklet",FALSE,FALSE
"81","Q3",48,"Rhinoceros Auklet","Parakeet Auklet","Crested Auklet",FALSE,TRUE
"82","Q3",49,"Rhinoceros Auklet","Least Auklet","Crested Auklet",FALSE,TRUE
"83","Q4",1,"Parakeet Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"84","Q4",2,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"85","Q4",3,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"86","Q4",5,"Crested Auklet","Rhinoceros Auklet","Crested Auklet",FALSE,FALSE
"87","Q4",7,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"88","Q4",8,"Parakeet Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"89","Q4",9,"Parakeet Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"90","Q4",11,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"91","Q4",13,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"92","Q4",14,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"93","Q4",15,"Parakeet Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"94","Q4",19,"Crested Auklet","Least Auklet","Crested Auklet",FALSE,FALSE
"95","Q4",21,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"96","Q4",22,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"97","Q4",23,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"98","Q4",27,"Parakeet Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"99","Q4",28,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"100","Q4",32,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"101","Q4",33,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"102","Q4",35,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"103","Q4",36,"Rhinoceros Auklet","Least Auklet","Crested Auklet",FALSE,TRUE
"104","Q4",37,"Parakeet Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"105","Q4",39,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"106","Q4",40,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"107","Q4",41,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"108","Q4",43,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"109","Q4",44,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"110","Q4",45,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"111","Q4",47,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"112","Q4",48,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"113","Q4",49,"Parakeet Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"114","Q5",0,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"115","Q5",2,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"116","Q5",3,"Rhinoceros Auklet","Parakeet Auklet","Crested Auklet",FALSE,TRUE
"117","Q5",4,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"118","Q5",6,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"119","Q5",8,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"120","Q5",9,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"121","Q5",11,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"122","Q5",12,"Crested Auklet","Rhinoceros Auklet","Crested Auklet",FALSE,FALSE
"123","Q5",13,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"124","Q5",14,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"125","Q5",19,"Crested Auklet","Rhinoceros Auklet","Crested Auklet",FALSE,FALSE
"126","Q5",25,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"127","Q5",27,"Parakeet Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"128","Q5",30,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"129","Q5",31,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"130","Q5",32,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"131","Q5",33,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"132","Q5",35,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"133","Q5",36,"Crested Auklet","Parakeet Auklet","Crested Auklet",FALSE,FALSE
"134","Q5",39,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"135","Q5",40,"Rhinoceros Auklet","Least Auklet","Crested Auklet",FALSE,TRUE
"136","Q5",41,"Parakeet Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"137","Q5",43,"Rhinoceros Auklet","Parakeet Auklet","Crested Auklet",FALSE,TRUE
"138","Q5",45,"Rhinoceros Auklet","Crested Auklet","Crested Auklet",FALSE,FALSE
"139","Q5",46,"Rhinoceros Auklet","Parakeet Auklet","Crested Auklet",FALSE,TRUE
"140","Q6",2,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"141","Q6",8,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"142","Q6",10,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"143","Q6",11,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"144","Q6",14,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"145","Q6",15,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"146","Q6",20,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"147","Q6",24,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"148","Q6",28,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"149","Q6",29,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"150","Q6",30,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"151","Q6",33,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"152","Q6",34,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"153","Q6",40,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"154","Q6",43,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"155","Q6",46,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"156","Q7",0,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"157","Q7",1,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"158","Q7",2,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"159","Q7",3,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"160","Q7",4,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"161","Q7",5,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"162","Q7",6,"Crested Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"163","Q7",7,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"164","Q7",8,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"165","Q7",9,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"166","Q7",10,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"167","Q7",11,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"168","Q7",12,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"169","Q7",13,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"170","Q7",14,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"171","Q7",15,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"172","Q7",16,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"173","Q7",17,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"174","Q7",18,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"175","Q7",19,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"176","Q7",20,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"177","Q7",21,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"178","Q7",23,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"179","Q7",24,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"180","Q7",25,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"181","Q7",26,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"182","Q7",28,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"183","Q7",29,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"184","Q7",30,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"185","Q7",31,"Crested Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"186","Q7",32,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"187","Q7",33,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"188","Q7",34,"Crested Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"189","Q7",35,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"190","Q7",36,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"191","Q7",37,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"192","Q7",38,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"193","Q7",39,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"194","Q7",40,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"195","Q7",41,"Crested Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"196","Q7",42,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"197","Q7",43,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"198","Q7",44,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"199","Q7",45,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"200","Q7",46,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"201","Q7",47,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"202","Q7",48,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"203","Q7",49,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"204","Q8",0,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"205","Q8",1,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"206","Q8",2,"Crested Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"207","Q8",3,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"208","Q8",4,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"209","Q8",5,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"210","Q8",6,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"211","Q8",8,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"212","Q8",9,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"213","Q8",10,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"214","Q8",11,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"215","Q8",12,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"216","Q8",13,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"217","Q8",14,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"218","Q8",15,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"219","Q8",16,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"220","Q8",17,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"221","Q8",18,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"222","Q8",19,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"223","Q8",20,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"224","Q8",21,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"225","Q8",22,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"226","Q8",23,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"227","Q8",24,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"228","Q8",25,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"229","Q8",26,"Crested Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"230","Q8",28,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"231","Q8",29,"Crested Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"232","Q8",30,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"233","Q8",31,"Crested Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"234","Q8",32,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"235","Q8",33,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"236","Q8",34,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"237","Q8",35,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"238","Q8",36,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"239","Q8",37,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"240","Q8",38,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"241","Q8",39,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"242","Q8",40,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"243","Q8",41,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"244","Q8",42,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"245","Q8",43,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"246","Q8",44,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"247","Q8",45,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"248","Q8",46,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"249","Q8",47,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"250","Q8",48,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"251","Q8",49,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"252","Q9",0,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"253","Q9",1,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"254","Q9",2,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"255","Q9",3,"Crested Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"256","Q9",4,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"257","Q9",5,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"258","Q9",6,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"259","Q9",7,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"260","Q9",8,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"261","Q9",9,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"262","Q9",10,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"263","Q9",11,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"264","Q9",12,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"265","Q9",13,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"266","Q9",14,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"267","Q9",15,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"268","Q9",17,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"269","Q9",19,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"270","Q9",20,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"271","Q9",21,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"272","Q9",23,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"273","Q9",24,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"274","Q9",25,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"275","Q9",26,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"276","Q9",27,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"277","Q9",28,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"278","Q9",29,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"279","Q9",30,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"280","Q9",31,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"281","Q9",32,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"282","Q9",33,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"283","Q9",34,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"284","Q9",35,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"285","Q9",36,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"286","Q9",37,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"287","Q9",38,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"288","Q9",39,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"289","Q9",40,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"290","Q9",41,"Crested Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"291","Q9",42,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"292","Q9",43,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"293","Q9",44,"Crested Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"294","Q9",45,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"295","Q9",46,"Rhinoceros Auklet","Parakeet Auklet","Least Auklet",FALSE,TRUE
"296","Q9",47,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"297","Q9",49,"Rhinoceros Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"298","Q10",0,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
"299","Q10",3,"Least Auklet","Parakeet Auklet","Least Auklet",FALSE,FALSE
"300","Q10",4,"Parakeet Auklet","Least Auklet","Least Auklet",FALSE,FALSE
