"id","LLM_Q1","LLM_Q2","LLM_Q3","LLM_Q4","LLM_Q5","LLM_Q6","LLM_Q7","LLM_Q8","LLM_Q9","LLM_Q10","LLM_Q11","LLM_Q12","LLM_Q13","LLM_Q14","LLM_Q15","LLM_Q16","LLM_Q17","LLM_Q18","LLM_Q19","LLM_Q20"
10,"Crested Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet"
11,"Crested Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Least Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
12,"Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Least Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Least Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet","Rhinoceros Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
13,"Crested Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Least Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet","Least Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
14,"Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet"
15,"Crested Auklet","Crested Auklet","Parakeet Auklet","Parakeet Auklet","Crested Auklet","Parakeet Auklet","Parakeet Auklet","Parakeet Auklet","Rhinoceros Auklet","Parakeet Auklet","Parakeet Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
16,"Crested Auklet","Crested Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Least Auklet","Rhinoceros Auklet","Crested Auklet","Least Auklet","Crested Auklet","Least Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Parakeet Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
17,"Crested Auklet","Crested Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Least Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet"
18,"Crested Auklet","Crested Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Least Auklet","Rhinoceros Auklet","Crested Auklet","Least Auklet","Least Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet"
19,"Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Least Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
20,"Crested Auklet","Crested Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet"
21,"Crested Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Least Auklet","Rhinoceros Auklet","Crested Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet","Parakeet Auklet","Parakeet Auklet","Parakeet Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet"
22,"Crested Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Least Auklet","Parakeet Auklet","Crested Auklet","Least Auklet","Least Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
23,"Crested Auklet","Crested Auklet","Crested Auklet","Rhinoceros Auklet","Crested Auklet","Least Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Least Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Least Auklet","Least Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
24,"Crested Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet","Parakeet Auklet","Crested Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Crested Auklet"
25,"Crested Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Rhinoceros Auklet","Least Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
26,"Crested Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Least Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Parakeet Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet"
27,"Parakeet Auklet","Parakeet Auklet","Rhinoceros Auklet","Parakeet Auklet","Parakeet Auklet","Least Auklet","Parakeet Auklet","Parakeet Auklet","Parakeet Auklet","Parakeet Auklet","Parakeet Auklet","Parakeet Auklet","Parakeet Auklet","Parakeet Auklet","Parakeet Auklet","Parakeet Auklet","Parakeet Auklet","Parakeet Auklet","Parakeet Auklet","Parakeet Auklet"
28,"Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
29,"Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Parakeet Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet"
30,"Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
31,"Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Least Auklet","Crested Auklet","Crested Auklet","Parakeet Auklet","Parakeet Auklet","Crested Auklet","Crested Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Parakeet Auklet","Parakeet Auklet","Rhinoceros Auklet","Parakeet Auklet"
32,"Crested Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Least Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
33,"Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
34,"Crested Auklet","Crested Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Parakeet Auklet","Crested Auklet","Parakeet Auklet","Crested Auklet","Parakeet Auklet","Parakeet Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Parakeet Auklet","Crested Auklet","Crested Auklet","Crested Auklet"
35,"Crested Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Least Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet","Parakeet Auklet","Parakeet Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Parakeet Auklet","Parakeet Auklet","Crested Auklet","Parakeet Auklet"
36,"Crested Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Least Auklet","Rhinoceros Auklet","Crested Auklet","Parakeet Auklet","Parakeet Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Parakeet Auklet","Parakeet Auklet","Rhinoceros Auklet","Parakeet Auklet"
37,"Crested Auklet","Crested Auklet","Rhinoceros Auklet","Parakeet Auklet","Crested Auklet","Least Auklet","Crested Auklet","Crested Auklet","Parakeet Auklet","Rhinoceros Auklet","Least Auklet","Parakeet Auklet","Parakeet Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Parakeet Auklet","Least Auklet","Rhinoceros Auklet","Least Auklet"
38,"Crested Auklet","Crested Auklet","Parakeet Auklet","Crested Auklet","Crested Auklet","Least Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet","Crested Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
39,"Crested Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Least Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
40,"Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
41,"Crested Auklet","Crested Auklet","Crested Auklet","Rhinoceros Auklet","Parakeet Auklet","Least Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Parakeet Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Crested Auklet","Parakeet Auklet","Parakeet Auklet","Crested Auklet","Parakeet Auklet"
42,"Crested Auklet","Crested Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Least Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet"
43,"Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
44,"Crested Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Least Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Crested Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
45,"Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Least Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
46,"Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet"
47,"Crested Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Least Auklet","Rhinoceros Auklet","Crested Auklet","Parakeet Auklet","Parakeet Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet","Parakeet Auklet","Rhinoceros Auklet","Parakeet Auklet"
48,"Crested Auklet","Least Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Least Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Least Auklet","Least Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Crested Auklet","Rhinoceros Auklet","Least Auklet"
49,"Crested Auklet","Crested Auklet","Rhinoceros Auklet","Parakeet Auklet","Crested Auklet","Least Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Least Auklet","Parakeet Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Rhinoceros Auklet","Parakeet Auklet"
